City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,walvis bay,-22.9575,14.5053,285.98,95,44,3.49,NA,1691731215
1,olonkinbyen,70.9221,-8.7187,279.43,98,98,1.33,SJ,1691731215
2,bethel,41.3712,-73.414,293.42,87,0,2.57,US,1691731131
3,saint-francois,46.4154,3.9054,288.53,94,0,1.03,FR,1691731215
4,grytviken,-54.2811,-36.5092,273.61,95,100,6.04,GS,1691731216
5,port elizabeth,-33.918,25.5701,293.2,62,0,2.06,ZA,1691731216
6,sandnessjoen,66.0217,12.6316,286.44,94,75,1.54,NO,1691731216
7,tokar,18.4254,37.729,307.0,39,83,11.56,SD,1691731216
8,laojunmiao,39.8333,97.7333,300.5,23,17,3.48,CN,1691731216
9,albany,42.6001,-73.9662,291.38,94,18,2.4,US,1691731210
10,dudinka,69.4058,86.1778,279.61,36,96,12.74,RU,1691731216
11,klyuchi,52.2667,79.1667,287.73,80,100,5.25,RU,1691731216
12,waitangi,-43.9535,-176.5597,283.05,91,100,1.34,NZ,1691731216
13,puerto natales,-51.7236,-72.4875,272.17,94,28,1.39,CL,1691731216
14,tolanaro,-25.0319,46.9987,291.95,60,77,3.19,MG,1691731216
15,colonia,50.9333,6.95,290.27,81,0,1.03,DE,1691730967
16,puerto baquerizo moreno,-0.9,-89.6,296.82,82,69,6.33,EC,1691731216
17,ulladulla,-35.35,150.4667,290.37,43,36,3.72,AU,1691731216
18,invercargill,-46.4,168.35,280.94,81,88,0.45,NZ,1691731216
19,punta del este,-34.9667,-54.95,287.57,96,100,1.79,UY,1691731216
20,afaahiti,-17.75,-149.2833,298.08,72,100,8.94,PF,1691731217
21,jamestown,42.097,-79.2353,290.92,99,0,3.09,US,1691731217
22,thunder bay,48.4001,-89.3168,286.14,82,0,2.06,CA,1691731009
23,mitu,1.1983,-70.1733,295.4,100,100,1.26,CO,1691731217
24,da nang,16.0678,108.2208,310.14,41,20,2.06,VN,1691731217
25,bredasdorp,-34.5322,20.0403,285.03,65,0,0.95,ZA,1691731217
26,punta cana,18.5818,-68.4043,302.02,84,75,5.14,DO,1691731186
27,port alfred,-33.5906,26.891,291.46,48,0,3.76,ZA,1691731217
28,port-aux-francais,-49.35,70.2167,276.27,80,45,17.07,TF,1691731217
29,iqaluit,63.7506,-68.5145,276.0,100,100,3.09,CA,1691731217
30,isafjordur,66.0755,-23.124,279.82,93,86,4.3,IS,1691731217
31,sitka,57.0531,-135.33,289.09,77,100,2.57,US,1691731217
32,adamstown,-25.066,-130.1015,291.32,58,60,10.95,PN,1691731186
33,yuma,32.7253,-114.6244,308.58,48,20,3.6,US,1691731217
34,luanda,-8.8368,13.2343,291.17,90,2,2.87,AO,1691731055
35,thompson,55.7435,-97.8558,285.24,82,75,1.54,CA,1691731032
36,queenstown,-31.8976,26.8753,281.69,50,0,2.66,ZA,1691731217
37,mhamid,29.82,-5.72,305.44,14,6,4.09,MA,1691731217
38,margaret river,-33.95,115.0667,288.75,65,31,3.75,AU,1691731217
39,mbaiki,3.8678,17.9892,294.4,99,100,0.5,CF,1691731218
40,kailua-kona,19.6406,-155.9956,300.13,84,75,5.14,US,1691730979
41,bilibino,68.0546,166.4372,291.49,48,93,3.34,RU,1691731218
42,slobozhans'ke,49.597,36.5262,293.66,88,78,4.05,UA,1691731218
43,udachny,66.4167,112.4,294.51,64,100,4.38,RU,1691731218
44,ust-nera,64.5667,143.2,297.34,32,69,0.8,RU,1691731218
45,ciudad de huajuapan de leon,17.8,-97.7667,291.13,78,100,2.05,MX,1691731218
46,yellowknife,62.456,-114.3525,288.44,82,100,1.03,CA,1691731218
47,blackmans bay,-43.0167,147.3167,287.22,73,100,2.8,AU,1691731218
48,broken hill,-31.95,141.4333,291.88,37,0,3.57,AU,1691731218
49,ribas do rio pardo,-20.4431,-53.7592,296.35,31,0,1.92,BR,1691731218
50,ancud,-41.8697,-73.8203,279.53,79,54,5.83,CL,1691731218
51,kodinsk,58.6881,99.1844,298.93,39,39,2.21,RU,1691731218
52,coquimbo,-29.9533,-71.3436,286.0,87,0,2.06,CL,1691730961
53,nova sintra,14.8667,-24.7167,295.53,75,43,5.35,CV,1691730976
54,kodiak,57.79,-152.4072,285.88,88,100,0.0,US,1691731219
55,vatutine,49.015,31.0621,291.94,68,80,5.53,UA,1691731219
56,amga,60.8953,131.9608,300.33,47,38,2.22,RU,1691731219
57,ulysses,37.5814,-101.3552,299.17,61,0,5.66,US,1691731219
58,inhambane,-23.865,35.3833,292.63,61,86,3.44,MZ,1691731219
59,ribeira grande,38.5167,-28.7,293.58,87,0,2.68,PT,1691731219
60,richards bay,-28.783,32.0377,288.22,83,2,4.01,ZA,1691731219
61,kerikeri,-35.2268,173.9474,286.43,63,5,0.89,NZ,1691731219
62,yangiobod,41.1192,70.0941,299.52,28,0,3.34,UZ,1691731219
63,petropavlovsk-kamchatsky,53.0452,158.6483,291.48,52,40,7.0,RU,1691731219
64,vernon,50.2581,-119.2691,293.35,55,84,2.57,CA,1691730923
65,hawaiian paradise park,19.5933,-154.9731,296.98,97,100,2.57,US,1691730923
66,shar,49.5886,81.0453,296.15,60,98,5.24,KZ,1691731219
67,sake,-1.5736,29.045,292.8,65,70,0.32,CD,1691731219
68,salahonda,2.1019,-78.7217,300.08,83,100,4.81,CO,1691731220
69,uturoa,-16.7333,-151.4333,298.46,67,96,9.16,PF,1691731220
70,road town,18.4167,-64.6167,302.2,79,14,8.36,VG,1691731220
71,lebu,-37.6167,-73.65,282.14,74,96,4.38,CL,1691730991
72,macapa,0.0389,-51.0664,298.14,94,20,1.54,BR,1691730990
73,college,64.8569,-147.8028,291.14,90,75,2.06,US,1691731220
74,constantia,44.1833,28.65,293.54,69,99,9.05,RO,1691731219
75,choyr,46.3611,108.3611,296.53,51,22,5.49,MN,1691731220
76,chonchi,-42.6128,-73.8092,277.66,94,67,2.27,CL,1691730998
77,aldinga beach,-35.2793,138.4604,289.37,71,99,1.81,AU,1691731220
78,longyearbyen,78.2186,15.6401,283.06,81,100,1.03,SJ,1691731171
79,happy valley-goose bay,53.3168,-60.3315,286.32,76,75,1.03,CA,1691731220
80,island harbour,50.724,-1.2758,292.0,94,100,2.24,GB,1691731220
81,vorgashor,67.5833,63.95,284.58,58,50,4.97,RU,1691731220
82,anadyr,64.75,177.4833,283.43,87,100,3.0,RU,1691731220
83,tromso,69.6496,18.957,288.92,82,0,4.12,NO,1691731220
84,kalmunai,7.4167,81.8167,304.89,55,97,4.36,LK,1691731220
85,westport,41.1415,-73.3579,294.17,88,0,1.54,US,1691731157
86,beaufort west,-32.3567,22.583,286.59,34,0,3.92,ZA,1691731221
87,port mathurin,-19.6833,63.4167,296.36,79,23,9.36,MU,1691731221
88,la ronge,55.1001,-105.2842,286.29,94,75,6.69,CA,1691731221
89,mosjoen,65.836,13.1908,286.44,88,75,0.0,NO,1691731221
90,bonthe,7.5264,-12.505,298.04,82,99,4.63,SL,1691731221
91,west island,-12.1568,96.8225,299.14,89,75,6.69,CC,1691731221
92,stanley,54.868,-1.6985,290.77,92,47,2.96,GB,1691731221
93,geraldton,-28.7667,114.6,292.38,72,97,3.6,AU,1691731221
94,trairi,-3.2778,-39.2689,297.07,91,35,3.79,BR,1691731221
95,el granada,37.5027,-122.4694,292.55,88,100,4.63,US,1691731221
96,suva,-18.1416,178.4415,293.86,83,75,3.6,FJ,1691731071
97,sao tome,0.3365,6.7273,297.78,83,98,2.92,ST,1691731222
98,lompoc,34.6391,-120.4579,292.6,88,100,1.34,US,1691731165
99,bontang,0.1333,117.5,302.36,68,100,3.93,ID,1691731222
100,coyhaique,-45.5752,-72.0662,275.12,75,75,1.03,CL,1691731222
101,breves,-1.6822,-50.4803,296.28,93,33,1.95,BR,1691731222
102,howrah,22.5892,88.3103,303.15,79,75,2.06,IN,1691731222
103,al burayqah,30.4062,19.5739,298.44,67,0,5.05,LY,1691731222
104,montmagny,48.9734,2.3469,293.14,82,0,2.57,FR,1691731222
105,vila franca do campo,37.7167,-25.4333,295.38,92,74,2.82,PT,1691731222
106,tamanrasset,22.785,5.5228,295.1,15,0,2.06,DZ,1691731222
107,saipan,15.1355,145.701,300.54,100,75,5.14,MP,1691731169
108,konongo,6.6167,-1.2167,293.3,99,98,0.65,GH,1691731222
109,papatowai,-46.5619,169.4708,280.12,86,99,2.32,NZ,1691731222
110,tommot,58.9564,126.2925,290.96,91,100,2.13,RU,1691731223
111,wanning,18.8003,110.3967,305.52,60,100,6.69,CN,1691731223
112,ushuaia,-54.8,-68.3,273.96,80,20,1.54,AR,1691731024
113,haiku-pauwela,20.9219,-156.3051,298.17,72,40,6.69,US,1691731223
114,nova vicosa,-17.8919,-39.3719,294.81,82,24,1.44,BR,1691731223
115,sao luiz gonzaga,-28.4083,-54.9608,290.86,97,100,0.3,BR,1691731223
116,iskateley,67.6803,53.1512,290.62,57,4,1.29,RU,1691731223
117,naze,28.3667,129.4833,301.66,82,100,0.19,JP,1691731223
118,ola,59.5833,151.2833,294.9,71,0,4.0,RU,1691731223
119,ferkessedougou,9.6,-5.2,294.71,98,100,2.21,CI,1691731223
120,hagere maryam,5.6333,38.2333,288.13,85,97,2.97,ET,1691731223
121,laguna,38.421,-121.4238,297.77,65,0,4.63,US,1691731223
122,avarua,-21.2078,-159.775,297.18,88,75,7.2,CK,1691731008
123,wailua homesteads,22.0669,-159.378,300.39,78,75,7.2,US,1691731223
124,whitehorse,60.7161,-135.0538,287.58,85,75,2.06,CA,1691731223
125,glogowek,50.3536,17.8641,286.32,64,61,1.59,PL,1691731223
126,rongelap,11.1635,166.8941,301.55,69,100,7.03,MH,1691731224
127,alesund,62.4723,6.1549,284.76,85,75,2.06,NO,1691731224
128,ciudad acuna,29.3232,-100.9522,309.31,32,0,7.2,MX,1691731224
129,kapa'a,22.0752,-159.319,301.14,78,75,7.2,US,1691731224
130,lijiang,26.8688,100.2207,298.8,57,100,1.08,CN,1691731224
131,edinburgh of the seven seas,-37.0676,-12.3116,284.75,73,97,11.0,SH,1691731224
132,christchurch,-43.5333,172.6333,280.88,69,86,5.14,NZ,1691731224
133,zhangatas,43.5667,69.75,299.63,37,0,3.85,KZ,1691731224
134,utrik,11.2278,169.8474,301.64,77,38,6.44,MH,1691731224
135,al muwayh,22.4333,41.7583,305.37,16,70,2.49,SA,1691731224
136,labrador city,52.9463,-66.9114,286.1,88,100,2.57,CA,1691731224
137,marka,1.7159,44.7717,298.6,76,62,8.58,SO,1691731224
138,goure,13.9835,10.2704,296.89,77,57,3.1,NE,1691731224
139,touros,-5.1989,-35.4608,295.98,88,22,5.8,BR,1691731224
140,tenno,39.9,139.9667,308.71,66,0,6.15,JP,1691731224
141,codrington,-38.2667,141.9667,287.77,68,100,4.51,AU,1691731225
142,tiksi,71.6872,128.8694,294.42,34,12,6.56,RU,1691731225
143,talnakh,69.4865,88.3972,279.38,83,100,7.56,RU,1691731225
144,asau,46.4333,26.4,289.66,64,66,1.53,RO,1691731225
145,puerto ayora,-0.7393,-90.3518,297.34,92,35,3.13,EC,1691731225
146,phan thiet,10.9333,108.1,305.56,60,2,6.26,VN,1691731225
147,targuist,34.9377,-4.3186,298.4,30,4,0.79,MA,1691731225
148,nouadhibou,20.931,-17.0347,295.14,88,40,9.26,MR,1691731225
149,grand-bassam,5.2118,-3.7388,297.13,87,92,1.97,CI,1691731225
150,cole harbour,44.6724,-63.4751,291.86,90,90,1.03,CA,1691731225
151,hotan,37.0997,79.9269,307.21,15,83,2.02,CN,1691731225
152,lagos,6.5833,3.75,297.33,91,98,1.78,NG,1691731225
153,ilhabela,-23.7781,-45.3581,293.78,87,8,2.42,BR,1691731225
154,bratsk,56.1325,101.6142,295.42,58,10,2.74,RU,1691731038
155,kluang,2.0251,103.3328,304.16,56,54,2.17,MY,1691731225
156,sao gabriel da cachoeira,-0.1303,-67.0892,295.5,99,100,0.55,BR,1691731026
157,sergeyevka,53.88,67.4158,289.06,59,99,6.12,KZ,1691731225
158,tazacorte,28.629,-17.9293,298.69,57,0,6.17,ES,1691731225
159,paris,48.8534,2.3488,293.21,87,0,1.54,FR,1691730979
160,yerofey pavlovich,53.9667,121.9667,293.0,75,100,1.28,RU,1691731226
161,hadibu,12.65,54.0333,299.79,76,83,9.72,YE,1691731226
162,antsiranana,-12.2787,49.2917,297.47,67,3,5.81,MG,1691731226
163,ginir,7.1333,40.7,290.19,70,66,4.44,ET,1691731226
164,tchintabaraden,15.8969,5.7985,301.69,61,100,4.24,NE,1691731226
165,bryne,58.7354,5.6477,285.69,98,20,1.54,NO,1691731226
166,qarauyl,48.9451,79.255,295.07,57,72,3.2,KZ,1691731226
167,mana,5.6592,-53.7767,298.16,90,15,3.14,GF,1691731226
168,cockburn town,21.4612,-71.1419,302.04,84,100,9.0,TC,1691731226
169,saint-pierre,-21.3393,55.4781,296.97,53,0,2.06,RE,1691731226
170,la passe,45.5549,-0.8967,291.28,92,76,1.66,FR,1691731226
171,hinton,53.4001,-117.5857,285.52,59,45,2.43,CA,1691731226
172,sterling,39.0062,-77.4286,295.59,82,0,0.45,US,1691731226
173,camana,-16.6228,-72.7111,290.38,89,87,3.28,PE,1691731226
174,ixtapa,20.7,-105.2,301.05,94,100,2.57,MX,1691731226
175,fortuna,40.5982,-124.1573,289.22,93,0,0.0,US,1691731226
176,ha'il,27.5219,41.6907,302.16,17,0,1.03,SA,1691731227
177,follonica,42.9263,10.7616,297.54,70,81,1.32,IT,1691731227
178,flying fish cove,-10.4217,105.6791,298.97,78,75,5.66,CX,1691730945
179,puerto aysen,-45.4,-72.7,273.99,98,93,1.88,CL,1691731227
180,kingston,17.997,-76.7936,299.4,96,37,1.08,JM,1691731092
181,berdyansk,46.7503,36.7944,297.03,78,76,4.81,UA,1691731227
182,hamilton,39.1834,-84.5333,294.8,90,0,1.54,US,1691730930
183,buka,40.8108,69.1986,306.24,16,0,1.92,UZ,1691731227
184,candido mendes,-1.4467,-45.7167,296.07,95,18,1.04,BR,1691731227
185,georgetown,5.4112,100.3354,305.11,66,40,5.14,MY,1691731227
186,mocimboa,-11.3167,40.35,294.55,73,0,4.66,MZ,1691731227
187,kone,-21.0595,164.8658,295.05,46,0,4.34,NC,1691731227
188,frontera,26.9333,-101.45,303.98,33,6,1.26,MX,1691731227
189,mount isa,-20.7333,139.5,301.02,21,4,2.06,AU,1691731227
190,valle del guamuez,0.4525,-76.9192,293.26,97,48,1.24,CO,1691731227
191,mirny,62.5353,113.9611,296.06,60,100,1.79,RU,1691731228
192,galliano,29.4422,-90.2992,301.15,83,0,0.0,US,1691731228
193,golere,16.2557,-14.1017,300.57,66,91,7.04,SN,1691731228
194,kattivakkam,13.2167,80.3167,305.2,72,100,0.99,IN,1691731228
195,dibba al-hisn,25.6196,56.2729,313.25,50,38,2.02,AE,1691731228
196,moundou,8.5667,16.0833,294.3,98,100,1.36,TD,1691731228
197,huilong,31.8111,121.655,304.63,57,9,1.45,CN,1691731228
198,saldanha,-33.0117,17.9442,288.18,53,6,6.44,ZA,1691731228
199,suoyarvi,62.0833,32.35,290.29,63,78,1.62,RU,1691731228
200,chibougamau,49.9168,-74.3659,287.94,94,100,2.06,CA,1691731228
201,plettenberg bay,-34.0527,23.3716,294.56,34,0,5.18,ZA,1691731228
202,tottori,35.5,134.2333,306.19,58,20,4.63,JP,1691731228
203,al kharj,24.155,47.3346,308.47,24,28,2.49,SA,1691731228
204,ashland,40.8167,-82.2665,292.68,100,68,3.47,US,1691730950
205,belmonte,-15.8631,-38.8828,294.82,84,76,1.76,BR,1691731228
206,carnarvon,-24.8667,113.6333,295.49,61,5,3.53,AU,1691731228
207,moose jaw,50.4001,-105.5344,288.63,70,75,2.93,CA,1691731228
208,warmbad,-28.45,18.7333,288.2,31,22,6.42,NA,1691731228
209,novodvinsk,64.4165,40.8122,295.2,70,47,0.1,RU,1691731228
210,mount pearl,47.5166,-52.7813,290.29,96,100,3.09,CA,1691731229
211,arvayheer,46.2639,102.775,294.23,40,1,1.37,MN,1691731229
212,sinabang,2.4803,96.3801,302.21,69,94,1.37,ID,1691731229
213,aasiaat,68.7098,-52.8699,276.81,97,100,3.38,GL,1691731229
214,los andes,-32.8337,-70.5983,281.64,57,85,2.01,CL,1691731229
215,kourou,5.1552,-52.6478,296.18,91,55,2.32,GF,1691731229
216,dakhla,23.6848,-15.958,295.38,78,61,6.05,EH,1691731229
217,hithadhoo,-0.6,73.0833,300.93,76,96,4.64,MV,1691731229
218,naracoorte,-36.9579,140.7383,286.31,67,100,4.56,AU,1691731229
219,makinsk,52.6292,70.4169,290.95,41,74,6.01,KZ,1691731229
220,gurupa,-1.405,-51.64,296.49,90,15,1.96,BR,1691731229
221,chinsali,-10.5414,32.0816,286.53,60,0,3.12,ZM,1691731229
222,tileagd,47.0667,22.2,287.9,69,26,0.14,RO,1691731229
223,al jawf,29.5,38.75,302.05,34,0,5.92,SA,1691731229
224,hancheng,32.5186,112.3522,306.49,53,80,3.24,CN,1691731229
225,kuanda,56.3161,116.0806,291.37,91,100,0.73,RU,1691731229
226,zheleznogorsk-ilimskiy,56.5768,104.1217,296.53,45,100,1.27,RU,1691731230
227,lincoln city,44.9582,-124.0179,290.85,80,0,0.45,US,1691731230
228,ingeniero guillermo n. juarez,-23.9,-61.85,295.42,55,11,2.58,AR,1691731230
229,copala,16.65,-98.9833,299.74,85,62,0.67,MX,1691731230
230,lichinga,-13.3128,35.2406,284.2,100,75,6.17,MZ,1691731230
231,cabedelo,-6.9811,-34.8339,295.52,80,69,4.84,BR,1691731230
232,tongliao,43.6125,122.2653,300.89,61,59,6.61,CN,1691731230
233,remire-montjoly,4.9167,-52.2667,296.17,100,100,0.51,GF,1691731230
234,giyani,-23.3025,30.7187,286.85,92,26,1.29,ZA,1691731230
235,nuuk,64.1835,-51.7216,281.49,87,75,5.14,GL,1691731190
236,kristiansund,63.1115,7.732,284.18,93,75,1.54,NO,1691731230
237,aguazul,5.1728,-72.5471,295.74,91,74,1.49,CO,1691731230
238,punta arenas,-53.15,-70.9167,274.33,74,10,4.97,CL,1691730971
239,maitum,6.0392,124.4986,302.93,66,87,3.14,PH,1691731230
240,tongchuanshi,35.0806,109.0897,301.77,66,95,1.67,CN,1691731230
241,taoudenni,22.6783,-3.9836,304.57,40,0,5.17,ML,1691731230
242,guerrero negro,27.9769,-114.0611,294.8,85,0,6.09,MX,1691731230
243,margate,51.3813,1.3862,291.87,80,30,0.89,GB,1691731230
244,saint-philippe,-21.3585,55.7679,296.92,76,1,2.45,RE,1691731231
245,enewetak,11.3474,162.3373,301.93,76,46,6.26,MH,1691731231
246,mcminnville,45.2101,-123.1987,293.82,69,0,2.57,US,1691731231
247,santa cruz,-17.8,-63.1667,297.85,83,0,6.69,BO,1691731231
248,griffith,41.5284,-87.4237,296.51,83,0,2.06,US,1691731231
249,dryden,49.7833,-92.7503,288.31,77,100,3.09,CA,1691731231
250,waynesboro,38.0685,-78.8895,293.28,91,0,0.0,US,1691730985
251,akureyri,65.6835,-18.0878,280.11,87,100,0.0,IS,1691731231
252,las navas del marques,40.6024,-4.3345,292.87,28,6,1.52,ES,1691731231
253,lihue,21.9789,-159.3672,300.73,73,75,7.2,US,1691731231
254,hermanus,-34.4187,19.2345,288.26,56,1,0.59,ZA,1691731231
255,dourados,-22.2211,-54.8056,296.52,36,0,3.51,BR,1691731045
256,okha,53.5739,142.9478,289.5,75,10,6.41,RU,1691731231
257,ghanzi,-21.5667,21.7833,281.85,90,4,3.78,BW,1691731231
258,keflavik,64.0049,-22.5624,288.1,87,75,1.03,IS,1691731231
259,talara,-4.5772,-81.2719,294.02,85,4,6.58,PE,1691731231
260,motueka,-41.1333,173.0167,280.63,80,24,1.43,NZ,1691731231
261,pechora,65.1472,57.2244,291.18,55,55,3.5,RU,1691731231
262,meadow lake,34.8014,-106.5436,295.82,49,96,5.37,US,1691731231
263,ailuk,10.2197,169.9797,301.59,77,71,6.02,MH,1691731232
264,bile,48.4952,39.0505,298.77,62,86,5.6,UA,1691731232
265,ilulissat,69.2167,-51.1,280.16,87,100,0.0,GL,1691731232
266,fada,9.5667,8.3,292.92,95,100,0.16,NG,1691731232
267,fort bragg,35.139,-79.006,299.9,81,100,2.06,US,1691731232
268,itoman,26.1247,127.6694,303.36,84,75,3.09,JP,1691731232
269,talwandi bhai,30.85,74.9333,306.3,56,60,0.99,IN,1691731232
270,nola,40.922,14.5329,296.83,77,2,1.09,IT,1691731232
271,klaksvik,62.2266,-6.589,285.66,97,99,7.92,FO,1691731232
272,cabo san lucas,22.8909,-109.9124,303.43,78,33,1.18,MX,1691731003
273,karaton,-6.3424,106.1045,305.53,46,20,1.23,ID,1691731232
274,bardai,11.65,7.2333,293.98,94,100,3.08,NG,1691731232
275,kosum phisai,16.2486,103.0674,305.38,59,100,5.7,TH,1691731232
276,pimentel,-6.8367,-79.9342,295.31,78,100,5.14,PE,1691731232
